review_id,course_id,review_text,rating,professor,date,source
CMSC131_424,CMSC131,"Pedram is pretty chill, although I physically could not pay attention to this class because of how monotonous his voice gets. Lectures useless. His exams are hard compared to the other professors(comparing averages it was about 10 to 15 pts less).",1,Pedram Sadeghian,2025-12-16T22:39:30.741958Z,PlanetTerp
CMSC131_423,CMSC131,"1.5 stars. 

Pros: An okay lecturer and at least records lectures. 

Cons: 
1. Exams and quizzes are often completely different from practice exams and practice quizzes, as well as lecture material. Sometimes, topics which are said to be covered in quizzes and exams are not actually in said quizzes and exams. 

2. Does not review material in class in the days before exams. He does not provide any explanations for where points have been missed on quizzes or tests, or he just tells the TAs not to provide explanations.
 
3. Project descriptions are extremely vague, and expected input/output files for certain methods to be implemented are often written strangely and/or incorrectly; he does not provide expected inputs/outputs in project descriptions, and relies too heavily on student-written tests. 

4. The 12% deduction for submitting a project after 11:31 PM of the due date is way too much. Outright refuses to give any points if submitted after 11:31 PM of the following day. 

5. Literally 67% of project grades are dependent on code passing release tests, rather than on whether said code adheres to expected input/output or not. Even passing the public tests is a small percentage of a project's grade.

6. Never gives extended time accommodations for quizzes, tests or projects. 

7. Relies too much on Piazza and doesn't like emailing. 

8. Rarely available for office hours.

9. Has the attitude of a 6th grader and the maturity of a high school sophomore.

Take either Elias or Nora, twin.  Or at least use leetcode if you are taking ped.",1,Pedram Sadeghian,2025-12-13T18:44:30.965912Z,PlanetTerp
CMSC131_422,CMSC131,"didnt go to my discussion in 131 and she wasnt even my TA but I always watched her videos, clear and helpful.",5,Angelyn Pham,2025-12-13T05:22:48.047028Z,PlanetTerp
CMSC131_421,CMSC131,Probably the only reason I ended up passing this class. Super helpful in office hours and in discussion. He explains concepts in ways that made sense to me even though I didn't have any prior knowledge.,5,MJ Mlambo,2025-12-11T08:59:41.918492Z,PlanetTerp
CMSC131_420,CMSC131,"Aaron is a great guy and I would say that he has definitely improved looking at his past reviews. I came in with little to no prior knowledge and just needed the class for a programming requirement (took CSP in 10th grade), and I still felt like I was understanding what was going on. I will say make sure you go to office hours, that was the most helpful thing for me. The main downfalls of Aaron would be somewhat slow grading, but that's a lot of professors at this school, and the exams. I don't personally think any of the exams were insanely hard, but it is just slightly annoying that he doesn't have any practice exams he created since he started recently. All in all, I would recommend Aaron. He makes class pretty chill plus you get like 3 2-day extensions on the programming projects.",4,Aaron Kyei-asare,2025-12-11T08:42:48.216136Z,PlanetTerp
CMSC131_419,CMSC131,"Pretty chill guy, if you have a cs background the class is really easy. However, the practice exams he provides are testing on entirely different topics than the actual exams. Additionally, he hasn't provided much study material for the final, making studying a bit harder. If you aren't coming into the class with a cs background, expect to study a bit harder and to get creative with study materials. Otherwise the class is pretty free.",4,Aaron Kyei-asare,2025-12-11T06:05:28.658064Z,PlanetTerp
CMSC131_418,CMSC131,Tiffany is the best 131 TA!,5,Tiffany Lu,2025-12-10T03:23:34.057475Z,PlanetTerp
CMSC131_417,CMSC131,"no curves and makes exams & quizzes impossibly hard

for an introductory course in java, pedram puts you through misery and extended suffering

take elias or nora",1,Pedram Sadeghian,2025-12-09T11:57:31.502467Z,PlanetTerp
CMSC131_416,CMSC131,"Ali is a fantastic TA. He is super nice, really helpful with projects, labs and really helps you to learn the content. He will come up with metaphors that are literally unforgettable. He really does work hard to make sure you do well and really honestly cares about everyone. He even draws little doodles on your quizzes and really puts in the time. If your TA is Ali he will make your discussions more fun and really care about helping you to learn.",5,Ali Nilforoushan,2025-12-08T19:11:42.905272Z,PlanetTerp
CMSC131_415,CMSC131,"Probably closer to 3.5 stars. Lectures are kind of boring and hard to pay attention to because he’s kind of monotone, but he’s super organized. Always posts lecture videos and TAs post discussion videos. He tells you what kinds of questions and what methods you’re allowed to use on exam. Provides a lot of practice exams.",4,Pedram Sadeghian,2025-12-05T21:42:52.285225Z,PlanetTerp
CMSC131_414,CMSC131,"Pedram's lectures are a bit boring, he just goes over the slides, but he does go through everything and the material is pretty simple. In the course we had 5 quizzes and 3 midterms. The quizzes are pretty easy, but the tests are a bit harder. Every week he gives a project assignment which is not to difficult and should be free points for your grade. TA discussions are very helpful and they review before tests and quizzes. I would give Pedram a 3.5 stars.",3,Pedram Sadeghian,2025-12-05T17:29:45.392408Z,PlanetTerp
CMSC131_413,CMSC131,"Pedram is a great professor teaching a somewhat boring class that is CMSC131. I really love how this guy goes into crazy detail, and speaks about how stuff in 131 can relate to future classes. To be honest, if you already know how to code, you can get away with missing 80% of lecture, however you would be missing out on good bits of information about how java works, which I can guarantee not many know. I will say, the quizzes and exams are actually a bit challenging compared to what he teaches, DO NOT UNDERESTIMATE THIS CLASS. just cuz you got a 4 in CSA and knows the basics of OOP does not mean this is an easy A, this class still needs some attention (I learned this the hard way). Overall Pedram is the goat for teaching, but when it comes to exams and quizzes, they can be difficult, so keep this in mind when choosing him. I'm going to continue with him for CMSC132, so I do recommend bro.",4,Pedram Sadeghian,2025-12-04T14:52:24.478563Z,PlanetTerp
CMSC131_412,CMSC131,"Aaron is a good professor, and he is very adaptable to students who need extra time or have had circumstances in their lives. He doesn't really respond to emails, so I'd suggest asking him questions in person. Sometimes the exams are random. For example, we had our midterm 3 exam, and it was somewhat like the practice exam, but the amount of time given to complete that test was impossible. But he did give more time to the class, which was nice. Overall, if you come to this class without a computer science background, it's kind of cooked because he goes fast. I'd recommend going to office hours and discussion for guided learning and help on projects and etc. I came in with computer science knowledge, so it wasn't much of a hard class for me because I ended up re-learning concepts that I already knew.",4,Aaron Kyei-asare,2025-11-30T17:12:15.222642Z,PlanetTerp
CMSC131_411,CMSC131,"In the beginning, there was nothing. Nothing but the calm whisper of despair, a dire foreshadowing to what would come next for the world. The world was in what we would call a juvenile state. Birds were quiet. Water, still. The familiar whistling of wind, silent. But the savior, Angelyn Pham, changed all of that with a simple wave of her hand. Just like that, life was brought to this world, and eventually evolved into the marvel we experience. Now? She's decided to extend her gratitude unto us CMSC students, such that we shall uphold her honor and show employers our glory.

(We ended up unemployed.)",5,Angelyn Pham,2025-11-21T18:26:10.799098Z,PlanetTerp
CMSC131_410,CMSC131,"Annie Nguyen, my lord and savior of CMSC131. 🥹 She saved my 131 grade from the dead and revived it to an A+. She's kinda like the final boss level of TAs. She doesn’t need to study the material; the material studies them. Every office hour feels less like class help and more like being front row at a TED Talk. THE GOAT!!!

Don't even get me started with her aura. When you walk into her office hours, Annie doesn’t respond to your questions; she reads your mind and answers it with the most well-thought-out, clear, and elegant response. She's built different. I always have a hard time paying attention because of how much awe I'm in when seeing her.

At this point, people should be taking notes on her. Professors should be citing her. Entire curricula should be rewritten in her honor. She's THAT good of a TA.",5,Annie Nguyen,2025-11-20T22:31:56.921667Z,PlanetTerp
CMSC131_409,CMSC131,"Best professor. Great at teaching and super understanding. TAs are helpful as well. Lots of practice exams and you will be well prepared for the exam as long as you go to office hours, discussion, and class. Lectures recorded.",5,Elias Gonzalez,2025-11-14T18:46:04.477521Z,PlanetTerp
CMSC131_408,CMSC131,She isn't aware of how poorly she conveys information and this translates into the tests feeling disjointed from where we are at in lectures. Our most recent test involved a coding question which required information we had just learned two days prior and was worth 40% of the entire test. The practice exams did not have coding questions of similar caliber.,1,Nora Burkhauser,2025-09-28T02:20:11.047305Z,PlanetTerp
